Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,,Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
19962,SUCCESS,2,255,938,0.1,938.1,,4596,SUCCESS,2,59,1179,0.1,1179.1
19963,SUCCESS,2,255,938,0.1,938.1,,4753,SUCCESS,2,61,1179,0.1,1179.1
19964,SUCCESS,2,255,938,0.1,938.1,,5066,SUCCESS,2,65,1179,0.1,1179.1
19965,SUCCESS,2,255,938,0.1,938.1,,7963,SUCCESS,2,102,1179,0.1,1179.1
19966,SUCCESS,2,255,938,0.1,938.1,,8277,SUCCESS,2,106,1179,0.1,1179.1
19967,SUCCESS,2,255,938,0.1,938.1,,9060,SUCCESS,2,116,1179,0.1,1179.1
19968,SUCCESS,2,255,938,0.1,938.1,,10078,SUCCESS,2,129,1179,0.1,1179.1
19970,SUCCESS,2,255,938,0.1,938.1,,10939,SUCCESS,2,140,1179,0.1,1179.1
19972,SUCCESS,2,255,938,0.1,938.1,,12896,SUCCESS,2,165,1179,0.1,1179.1
19973,SUCCESS,2,255,938,0.1,938.1,,13053,SUCCESS,2,167,1179,0.1,1179.1
19974,SUCCESS,2,255,938,0.1,938.1,,14541,SUCCESS,2,186,1179,0.1,1179.1
19975,SUCCESS,2,255,938,0.1,938.1,,14776,SUCCESS,2,189,1179,0.1,1179.1
19976,SUCCESS,2,255,938,0.1,938.1,,15167,SUCCESS,2,194,1179,0.1,1179.1
19979,SUCCESS,2,255,938,0.1,938.1,,15873,SUCCESS,2,203,1179,0.1,1179.1
19980,SUCCESS,2,255,938,0.1,938.1,,17281,SUCCESS,2,221,1179,0.1,1179.1
19981,SUCCESS,2,255,938,0.1,938.1,,17360,SUCCESS,2,222,1179,0.1,1179.1
19982,SUCCESS,2,255,938,0.1,938.1,,18299,SUCCESS,2,234,1179,0.1,1179.1
19983,SUCCESS,2,255,938,0.1,938.1,,18770,SUCCESS,2,240,1179,0.1,1179.1
19984,SUCCESS,2,255,938,0.1,938.1,,19630,SUCCESS,2,251,1179,0.1,1179.1
19985,SUCCESS,2,255,938,0.1,938.1,,1152,SUCCESS,2,15,1200,0.1,1200.1
19987,SUCCESS,2,255,938,0.1,938.1,,1777,SUCCESS,2,23,1200,0.1,1200.1
19988,SUCCESS,2,255,938,0.1,938.1,,2091,SUCCESS,2,27,1200,0.1,1200.1
19989,SUCCESS,2,255,938,0.1,938.1,,2717,SUCCESS,2,35,1200,0.1,1200.1
19991,SUCCESS,2,255,938,0.1,938.1,,4205,SUCCESS,2,54,1200,0.1,1200.1
19992,SUCCESS,2,255,938,0.1,938.1,,5223,SUCCESS,2,67,1200,0.1,1200.1
19993,SUCCESS,2,255,938,0.1,938.1,,5615,SUCCESS,2,72,1200,0.1,1200.1
19994,SUCCESS,2,255,938,0.1,938.1,,6162,SUCCESS,2,79,1200,0.1,1200.1
19997,SUCCESS,2,255,938,0.1,938.1,,6554,SUCCESS,2,84,1200,0.1,1200.1
19998,SUCCESS,2,255,938,0.1,938.1,,8512,SUCCESS,2,109,1200,0.1,1200.1
19999,SUCCESS,2,255,938,0.1,938.1,,8746,SUCCESS,2,112,1200,0.1,1200.1
20000,SUCCESS,2,255,938,0.1,938.1,,9374,SUCCESS,2,120,1200,0.1,1200.1
16107,SUCCESS,2,206,1048,0.1,1048.1,,9451,SUCCESS,2,121,1200,0.1,1200.1
16110,SUCCESS,2,206,1048,0.1,1048.1,,12192,SUCCESS,2,156,1200,0.1,1200.1
16113,SUCCESS,2,206,1048,0.1,1048.1,,12426,SUCCESS,2,159,1200,0.1,1200.1
16114,SUCCESS,2,206,1048,0.1,1048.1,,12975,SUCCESS,2,166,1200,0.1,1200.1
16116,SUCCESS,2,206,1048,0.1,1048.1,,13288,SUCCESS,2,170,1200,0.1,1200.1
16117,SUCCESS,2,206,1048,0.1,1048.1,,14697,SUCCESS,2,188,1200,0.1,1200.1
16118,SUCCESS,2,206,1048,0.1,1048.1,,15324,SUCCESS,2,196,1200,0.1,1200.1
16119,SUCCESS,2,206,1048,0.1,1048.1,,19083,SUCCESS,2,244,1200,0.1,1200.1
16120,SUCCESS,2,206,1048,0.1,1048.1,,19789,SUCCESS,2,253,1200,0.1,1200.1
16122,SUCCESS,2,206,1048,0.1,1048.1,,838,SUCCESS,2,11,1219,0.1,1219.1
16123,SUCCESS,2,206,1048,0.1,1048.1,,994,SUCCESS,2,13,1219,0.1,1219.1
16124,SUCCESS,2,206,1048,0.1,1048.1,,3109,SUCCESS,2,40,1219,0.1,1219.1
16125,SUCCESS,2,206,1048,0.1,1048.1,,3735,SUCCESS,2,48,1219,0.1,1219.1
16129,SUCCESS,2,206,1048,0.1,1048.1,,5144,SUCCESS,2,66,1219,0.1,1219.1
16130,SUCCESS,2,206,1048,0.1,1048.1,,5537,SUCCESS,2,71,1219,0.1,1219.1
16131,SUCCESS,2,206,1048,0.1,1048.1,,5849,SUCCESS,2,75,1219,0.1,1219.1
16132,SUCCESS,2,206,1048,0.1,1048.1,,6319,SUCCESS,2,81,1219,0.1,1219.1
16133,SUCCESS,2,206,1048,0.1,1048.1,,7650,SUCCESS,2,98,1219,0.1,1219.1
16134,SUCCESS,2,206,1048,0.1,1048.1,,7885,SUCCESS,2,101,1219,0.1,1219.1
16137,SUCCESS,2,206,1048,0.1,1048.1,,8355,SUCCESS,2,107,1219,0.1,1219.1
16140,SUCCESS,2,206,1048,0.1,1048.1,,8433,SUCCESS,2,108,1219,0.1,1219.1
16142,SUCCESS,2,206,1048,0.1,1048.1,,9294,SUCCESS,2,119,1219,0.1,1219.1
16144,SUCCESS,2,206,1048,0.1,1048.1,,10704,SUCCESS,2,137,1219,0.1,1219.1
16145,SUCCESS,2,206,1048,0.1,1048.1,,11017,SUCCESS,2,141,1219,0.1,1219.1
16146,SUCCESS,2,206,1048,0.1,1048.1,,11174,SUCCESS,2,143,1219,0.1,1219.1
16147,SUCCESS,2,206,1048,0.1,1048.1,,12271,SUCCESS,2,157,1219,0.1,1219.1
16148,SUCCESS,2,206,1048,0.1,1048.1,,12348,SUCCESS,2,158,1219,0.1,1219.1
16149,SUCCESS,2,206,1048,0.1,1048.1,,12740,SUCCESS,2,163,1219,0.1,1219.1
16150,SUCCESS,2,206,1048,0.1,1048.1,,13210,SUCCESS,2,169,1219,0.1,1219.1
16151,SUCCESS,2,206,1048,0.1,1048.1,,13444,SUCCESS,2,172,1219,0.1,1219.1
16152,SUCCESS,2,206,1048,0.1,1048.1,,13523,SUCCESS,2,173,1219,0.1,1219.1
16153,SUCCESS,2,206,1048,0.1,1048.1,,13601,SUCCESS,2,174,1219,0.1,1219.1
16154,SUCCESS,2,206,1048,0.1,1048.1,,14620,SUCCESS,2,187,1219,0.1,1219.1
16155,SUCCESS,2,206,1048,0.1,1048.1,,15010,SUCCESS,2,192,1219,0.1,1219.1
16156,SUCCESS,2,206,1048,0.1,1048.1,,15248,SUCCESS,2,195,1219,0.1,1219.1
16157,SUCCESS,2,206,1048,0.1,1048.1,,16342,SUCCESS,2,209,1219,0.1,1219.1
16158,SUCCESS,2,206,1048,0.1,1048.1,,16420,SUCCESS,2,210,1219,0.1,1219.1
16159,SUCCESS,2,206,1048,0.1,1048.1,,17673,SUCCESS,2,226,1219,0.1,1219.1
16162,SUCCESS,2,206,1048,0.1,1048.1,,17986,SUCCESS,2,230,1219,0.1,1219.1
16163,SUCCESS,2,206,1048,0.1,1048.1,,18534,SUCCESS,2,237,1219,0.1,1219.1
16164,SUCCESS,2,206,1048,0.1,1048.1,,19239,SUCCESS,2,246,1219,0.1,1219.1
16166,SUCCESS,2,206,1048,0.1,1048.1,,761,SUCCESS,2,10,1236,0.1,1236.1
16167,SUCCESS,2,206,1048,0.1,1048.1,,2247,SUCCESS,2,29,1236,0.1,1236.1
16168,SUCCESS,2,206,1048,0.1,1048.1,,2482,SUCCESS,2,32,1236,0.1,1236.1
16169,SUCCESS,2,206,1048,0.1,1048.1,,2874,SUCCESS,2,37,1236,0.1,1236.1
16170,SUCCESS,2,206,1048,0.1,1048.1,,2952,SUCCESS,2,38,1236,0.1,1236.1
16171,SUCCESS,2,206,1048,0.1,1048.1,,4127,SUCCESS,2,53,1236,0.1,1236.1
16172,SUCCESS,2,206,1048,0.1,1048.1,,4361,SUCCESS,2,56,1236,0.1,1236.1
16173,SUCCESS,2,206,1048,0.1,1048.1,,4831,SUCCESS,2,62,1236,0.1,1236.1
16175,SUCCESS,2,206,1048,0.1,1048.1,,4911,SUCCESS,2,63,1236,0.1,1236.1
16176,SUCCESS,2,206,1048,0.1,1048.1,,6241,SUCCESS,2,80,1236,0.1,1236.1
16180,SUCCESS,2,206,1048,0.1,1048.1,,6476,SUCCESS,2,83,1236,0.1,1236.1
